###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,25.28
lon,108.08
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Dongge
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
-50.0,-7.18
-41.0,-7.32
-31.0,-7.1
-20.0,-7.28
-9.0,-7.27
-4.0,-7.52
0.0,-7.53
5.0,-8.07
12.0,-8.14
19.0,-7.76
27.0,-7.53
30.0,-7.52
34.0,-7.67
38.0,-7.56
41.0,-7.71
45.0,-7.49
48.0,-7.81
52.0,-7.61
56.0,-8.09
59.0,-7.65
63.0,-7.84
66.0,-7.42
69.0,-7.47
70.0,-7.97
71.0,-7.77
74.0,-7.61
77.0,-7.82
81.0,-7.51
84.0,-8.0
88.0,-7.49
92.0,-7.7
95.0,-7.51
99.0,-7.78
103.0,-7.69
106.0,-7.91
110.0,-7.72
113.0,-7.58
117.0,-7.54
121.0,-7.57
124.0,-7.54
128.0,-7.92
131.0,-7.44
135.0,-7.71
136.0,-7.57
138.0,-7.49
141.0,-7.66
144.0,-8.08
147.0,-7.59
150.0,-7.57
153.0,-7.75
156.0,-7.77
159.0,-7.84
161.0,-6.99
164.0,-7.64
167.0,-7.67
170.0,-7.53
173.0,-7.62
176.0,-7.63
179.0,-7.89
182.0,-7.57
185.0,-7.19
188.0,-7.37
191.0,-7.59
194.0,-7.47
197.0,-7.58
200.0,-7.57
203.0,-7.19
206.0,-7.07
209.0,-7.62
211.0,-7.65
214.0,-7.43
217.0,-7.68
220.0,-7.66
223.0,-7.41
226.0,-7.08
229.0,-7.2
232.0,-7.48
235.0,-7.16
239.0,-7.21
243.0,-7.19
247.0,-7.31
252.0,-7.52
256.0,-7.25
260.0,-7.44
264.0,-7.55
268.0,-7.59
272.0,-7.44
277.0,-7.17
281.0,-7.34
285.0,-7.49
289.0,-7.67
293.0,-7.32
297.0,-7.39
301.0,-7.18
306.0,-6.96
310.0,-7.38
314.0,-7.19
318.0,-7.35
322.0,-7.52
326.0,-7.44
330.0,-7.21
335.0,-7.6
339.0,-7.47
343.0,-7.21
347.0,-7.46
351.0,-7.4
355.0,-7.61
360.0,-7.26
364.0,-7.0
368.0,-6.95
372.0,-6.64
376.0,-7.14
380.0,-7.26
384.0,-7.29
389.0,-7.21
393.0,-7.41
397.0,-7.43
401.0,-7.39
405.0,-7.35
409.0,-7.47
413.0,-7.19
418.0,-7.05
422.0,-7.37
426.0,-7.2
430.0,-7.34
434.0,-7.19
438.0,-7.31
443.0,-6.98
447.0,-7.02
451.0,-7.1
455.0,-7.15
459.0,-7.24
463.0,-7.13
467.0,-6.66
471.0,-7.26
475.0,-7.47
479.0,-7.3
483.0,-7.15
487.0,-7.21
491.0,-7.23
495.0,-7.56
499.0,-7.39
503.0,-6.74
507.0,-7.08
511.0,-6.92
515.0,-7.16
519.0,-7.4
523.0,-7.09
527.0,-7.12
531.0,-6.94
535.0,-6.65
539.0,-7.57
543.0,-7.71
547.0,-7.27
551.0,-7.23
555.0,-7.48
559.0,-7.37
563.0,-7.39
567.0,-7.38
571.0,-7.46
575.0,-7.31
579.0,-7.21
583.0,-7.32
587.0,-7.3
591.0,-7.21
595.0,-7.24
599.0,-7.28
603.0,-7.16
607.0,-7.17
609.0,-7.28
611.0,-7.1
615.0,-7.11
618.0,-7.14
620.0,-7.2
626.0,-7.54
629.0,-7.43
631.0,-7.47
637.0,-7.5
639.0,-7.43
642.0,-7.35
648.0,-7.26
650.0,-7.28
653.0,-7.23
658.0,-7.29
661.0,-7.27
664.0,-7.15
669.0,-7.56
672.0,-7.61
675.0,-7.48
680.0,-7.24
683.0,-7.42
686.0,-7.41
691.0,-7.74
694.0,-7.6
696.0,-7.75
702.0,-7.63
705.0,-7.64
707.0,-7.55
713.0,-7.59
715.0,-7.61
718.0,-7.61
724.0,-7.36
726.0,-7.44
729.0,-7.38
734.0,-7.35
737.0,-7.27
740.0,-7.25
745.0,-7.52
748.0,-7.17
751.0,-7.4
756.0,-7.21
759.0,-7.29
762.0,-7.19
767.0,-6.99
770.0,-7.12
772.0,-7.08
778.0,-7.11
781.0,-7.27
783.0,-7.17
789.0,-7.08
791.0,-7.19
794.0,-7.24
800.0,-7.21
802.0,-7.28
805.0,-7.53
811.0,-7.41
818.0,-7.31
824.0,-7.24
830.0,-7.21
836.0,-7.32
843.0,-7.27
849.0,-7.05
855.0,-7.12
861.0,-7.31
868.0,-7.19
874.0,-7.38
880.0,-7.4
886.0,-7.16
893.0,-7.3
899.0,-7.21
905.0,-6.87
911.0,-7.22
917.0,-7.15
922.0,-7.38
928.0,-7.37
934.0,-7.12
940.0,-7.16
946.0,-7.32
951.0,-7.46
957.0,-7.25
963.0,-6.78
969.0,-7.12
974.0,-7.18
980.0,-7.44
986.0,-7.2
992.0,-7.22
998.0,-7.34
1003.0,-7.23
1009.0,-7.39
1015.0,-7.5
1018.0,-7.01
1020.0,-7.21
1023.0,-7.33
1026.0,-7.28
1029.0,-7.26
1031.0,-7.24
1034.0,-7.26
1037.0,-7.2
1040.0,-6.98
1042.0,-7.11
1045.0,-7.11
1048.0,-7.06
1051.0,-7.29
1055.0,-7.4
1058.0,-7.43
1061.0,-7.57
1064.0,-7.55
1068.0,-7.45
1071.0,-7.28
1074.0,-7.49
1077.0,-7.46
1081.0,-7.08
1084.0,-7.45
1087.0,-7.5
1090.0,-7.22
1094.0,-7.04
1097.0,-7.15
1100.0,-7.07
1103.0,-7.31
1107.0,-7.58
1110.0,-7.33
1113.0,-7.44
1116.0,-7.6
1120.0,-7.51
1123.0,-7.17
1126.0,-7.21
1129.0,-7.05
1133.0,-7.38
1136.0,-7.18
1139.0,-7.69
1142.0,-7.33
1146.0,-7.45
1149.0,-7.31
1152.0,-7.37
1155.0,-7.44
1159.0,-7.29
1162.0,-7.27
1165.0,-6.76
1169.0,-7.17
1173.0,-7.46
1177.0,-7.55
1179.0,-7.47
1181.0,-7.27
1183.0,-7.27
1185.0,-7.49
1187.0,-7.52
1188.0,-7.54
1190.0,-7.35
1192.0,-7.21
1194.0,-7.21
1196.0,-7.2
1198.0,-7.32
1200.0,-7.36
1202.0,-7.36
1204.0,-7.35
1206.0,-7.34
1208.0,-7.48
1210.0,-7.45
1212.0,-7.36
1214.0,-7.2
1216.0,-7.18
1218.0,-7.25
1220.0,-7.26
1222.0,-7.42
1224.0,-7.45
1228.0,-7.46
1232.0,-7.43
1235.0,-7.51
1239.0,-7.02
1243.0,-7.31
1247.0,-7.39
1251.0,-7.09
1255.0,-6.98
1261.0,-7.13
1268.0,-7.08
1274.0,-7.43
1280.0,-7.56
1286.0,-7.36
1293.0,-7.26
1299.0,-7.4
1305.0,-7.33
1312.0,-7.28
1318.0,-7.29
1324.0,-7.54
1331.0,-7.39
1337.0,-7.22
1343.0,-7.45
1349.0,-7.32
1356.0,-7.12
1362.0,-7.37
1368.0,-7.34
1375.0,-7.49
1381.0,-7.42
1387.0,-7.29
1394.0,-6.88
1400.0,-6.89
1406.0,-7.12
1412.0,-7.01
1419.0,-7.02
1425.0,-7.62
1429.0,-7.47
1434.0,-7.16
1438.0,-6.95
1443.0,-7.01
1447.0,-7.38
1452.0,-7.28
1456.0,-7.1
1461.0,-6.98
1465.0,-7.29
1469.0,-7.22
1474.0,-6.84
1478.0,-6.9
1483.0,-7.19
1487.0,-7.25
1492.0,-7.12
1496.0,-7.24
1501.0,-7.01
1505.0,-6.9
1509.0,-7.02
1513.0,-6.85
1516.0,-6.93
1520.0,-7.31
1524.0,-7.15
1528.0,-7.27
1532.0,-7.41
1536.0,-7.3
1539.0,-7.06
1543.0,-7.18
1547.0,-6.85
1551.0,-7.02
1555.0,-7.02
1559.0,-7.29
1562.0,-7.27
1566.0,-7.3
1570.0,-7.28
1574.0,-7.38
1578.0,-6.98
1582.0,-7.22
1585.0,-7.39
1589.0,-7.04
1593.0,-7.18
1597.0,-6.94
1601.0,-7.35
1605.0,-7.41
1608.0,-7.45
1612.0,-7.38
1616.0,-7.26
1620.0,-7.09
1624.0,-7.26
1628.0,-7.37
1631.0,-7.36
1635.0,-7.26
1639.0,-7.33
1643.0,-7.09
1647.0,-7.28
1651.0,-7.2
1654.0,-7.16
