###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,27.1
lon,105.1
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Guizhouxinv
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
3665.0,-11.85
3666.0,
3667.0,-11.81
3668.0,-12.02
3669.0,-12.08
3670.0,-12.08
3671.0,-12.1
3672.0,
3673.0,-12.07
3674.0,
3675.0,-11.99
3676.0,
3677.0,-11.89
3678.0,
3679.0,-11.64
3680.0,
3681.0,-11.66
3682.0,
3683.0,-11.44
3684.0,-11.53
3685.0,-11.78
3686.0,-11.77
3687.0,
3688.0,-11.87
3689.0,
3690.0,
3691.0,-11.95
3692.0,
3693.0,
3694.0,-11.91
3695.0,
3696.0,-11.95
3697.0,
3698.0,
3699.0,-12.04
3700.0,
3701.0,
3702.0,
3703.0,-11.89
3704.0,
3705.0,-11.86
3706.0,
3707.0,
3708.0,-11.86
3709.0,
3710.0,-11.69
3711.0,
3712.0,
3713.0,-11.67
3714.0,
3715.0,
3716.0,-11.48
3717.0,-11.37
3718.0,-11.42
3719.0,
3720.0,
3721.0,-11.4
3722.0,
3723.0,-11.31
3724.0,-11.35
3725.0,-11.15
3726.0,
3727.0,
3728.0,
3729.0,-10.95
3730.0,
3731.0,
3732.0,-11.02
3733.0,
3734.0,
3735.0,-11.1
3736.0,
3737.0,-11.0
3738.0,-10.73
3739.0,
3740.0,
3741.0,
3742.0,-10.47
3743.0,
3744.0,-10.75
3745.0,
3746.0,-11.37
3747.0,
3748.0,
3749.0,-11.47
3750.0,
3751.0,-11.73
3752.0,
3753.0,-11.54
3754.0,
3755.0,-11.83
3756.0,-12.14
3757.0,
3758.0,-12.06
3759.0,-12.15
3760.0,
3761.0,
3762.0,-12.08
3763.0,-12.07
3764.0,-11.99
3765.0,-12.02
3766.0,-11.88
3767.0,
3768.0,-11.97
3769.0,-12.19
