###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,30.45
lon,110.416
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Heshang
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
-52.0,-7.96
-51.0,-7.95
-50.0,-7.86
-49.0,-7.92
-48.0,-8.11
-47.0,-7.95
-46.0,-7.87
-45.0,-8.08
-44.0,-7.92
-43.0,-7.84
-42.0,-7.91
-41.0,-7.9
-40.0,-7.89
-39.0,-7.48
-38.0,-7.37
-37.0,-7.43
-36.0,-7.45
-35.0,-7.44
-34.0,-7.39
-33.0,-7.46
-32.0,-7.76
-31.0,-7.85
-30.0,-7.95
-29.0,-8.07
-28.0,-8.11
-27.0,-8.3
-26.0,-8.36
-25.0,-8.52
-24.0,-8.42
-23.0,-8.23
-22.0,-8.25
-21.0,-8.47
-20.0,-8.48
-19.0,-8.46
-18.0,-8.39
-17.0,-8.35
-16.0,-8.23
-15.0,-8.23
-14.0,-8.26
-13.0,-8.31
-12.0,-8.15
-11.0,-8.11
-10.0,-8.19
-9.0,-8.44
-8.0,-8.0
-7.0,-8.14
-6.0,-8.24
-5.0,-8.08
-4.0,-8.29
-3.0,-8.21
-2.0,-8.26
-1.0,-7.98
0.0,-7.91
1.0,-8.24
2.0,-8.16
3.0,-8.21
4.0,-8.05
5.0,-8.14
6.0,-8.19
7.0,-8.14
8.0,-8.06
9.0,-8.01
10.0,-8.2
11.0,-8.09
12.0,-8.21
13.0,-8.39
14.0,-8.53
15.0,-8.53
16.0,-8.59
17.0,-8.6
18.0,-8.82
19.0,-8.78
20.0,-8.84
21.0,-8.79
22.0,-9.02
23.0,-8.89
24.0,-9.06
25.0,-9.01
26.0,-8.82
27.0,-9.26
28.0,-8.8
29.0,-8.84
30.0,-8.9
31.0,-8.96
32.0,-8.77
33.0,-8.54
34.0,-9.05
35.0,-8.98
36.0,-8.92
37.0,-8.75
38.0,-8.67
39.0,-8.57
40.0,-8.64
41.0,-8.46
42.0,-8.51
43.0,-8.66
44.0,-8.71
45.0,-8.52
46.0,-8.55
47.0,-8.39
48.0,-8.12
50.0,-7.89
52.0,-8.13
54.0,-8.25
56.0,-8.26
57.0,-8.28
59.0,-8.13
61.0,-8.31
63.0,-8.2
65.0,-8.25
67.0,-8.28
68.0,-8.19
70.0,-8.27
72.0,-8.67
74.0,-8.31
76.0,-8.13
77.0,-8.26
79.0,-8.43
81.0,-8.59
83.0,-8.67
85.0,-8.57
87.0,-8.64
88.0,-8.22
90.0,-8.38
92.0,-8.64
96.0,-8.45
103.0,-8.39
111.0,-8.72
126.0,-8.7
134.0,-8.43
141.0,-8.45
149.0,-8.6
156.0,-8.8
164.0,-8.95
172.0,-9.08
179.0,-9.19
187.0,-8.93
191.0,-8.84
196.0,-8.75
201.0,-8.38
205.0,-8.3
210.0,-8.54
215.0,-8.41
219.0,-8.32
224.0,-8.16
229.0,-8.12
234.0,-8.31
238.0,-7.89
243.0,-8.16
248.0,-8.15
252.0,-8.15
257.0,-8.3
262.0,-8.03
266.0,-7.68
271.0,-7.99
276.0,-7.91
280.0,-7.4
285.0,-7.71
290.0,-8.0
294.0,-7.63
299.0,-7.84
304.0,-7.86
308.0,-8.12
313.0,-7.78
318.0,-7.95
322.0,-8.37
325.0,-8.17
327.0,-7.98
329.0,-8.12
331.0,-8.3
333.0,-8.31
335.0,-8.65
338.0,-8.21
340.0,-7.98
342.0,-8.02
344.0,-8.23
346.0,-7.82
349.0,-8.06
351.0,-7.96
353.0,-7.81
355.0,-7.57
357.0,-7.71
360.0,-8.0
362.0,-7.73
364.0,-8.42
366.0,-8.48
368.0,-7.95
371.0,-8.03
373.0,-8.48
375.0,-8.01
377.0,-7.94
379.0,-8.03
382.0,-7.63
384.0,-8.02
386.0,-7.85
388.0,-7.96
