###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,12.586
lon,54.3543
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Hoq
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
-45.634,-1.671
-36.233,-2.031
-26.831,-2.134
-17.429,-2.176
-8.027,-2.278
1.376,-1.938
10.779,-1.837
20.181,-1.843
29.584,-1.951
38.986,-2.045
48.388,-2.194
57.791,-1.987
67.193,-1.891
76.596,-1.906
85.998,-1.893
95.401,-1.77
104.803,-1.715
114.206,-1.667
123.608,-1.664
133.01,-1.659
142.413,-1.767
151.815,-1.877
161.217,-1.926
170.619,-1.98
180.022,-2.034
189.424,-1.778
198.826,-1.746
208.228,-1.86
217.63,-1.948
227.032,-1.675
236.435,-1.255
245.837,-1.348
255.239,-1.918
264.641,-1.826
274.043,-1.71
283.445,-1.595
292.848,-1.565
302.25,-1.556
311.652,-1.576
321.054,-1.863
330.456,-1.829
339.858,-1.807
349.261,-1.797
358.663,-1.586
368.065,-1.724
377.467,-1.777
386.869,-1.693
396.271,-1.735
405.674,-1.889
415.076,-1.838
424.478,-1.879
433.881,-1.782
443.283,-1.92
452.684,-1.939
462.085,-1.836
471.487,-1.741
480.891,-1.657
490.297,-2.35
499.702,-1.762
509.101,-2.082
518.489,-2.231
527.868,-1.918
537.239,-1.967
546.607,-2.287
555.98,-2.093
565.378,-2.088
574.82,-2.082
584.313,-1.883
593.806,-1.846
603.237,-1.851
612.554,-1.825
621.84,-1.59
631.267,-1.356
641.001,-1.309
650.987,-1.262
660.821,-1.311
670.068,-1.386
678.601,-1.567
687.524,-1.665
698.244,-1.24
711.864,-1.212
725.906,-1.288
733.731,-1.027
734.046,-0.913
737.161,-1.044
740.276,-1.079
780.245,-0.703
862.524,-0.994
965.39,-1.185
1059.008,-1.139
1115.934,-1.214
1136.54,-1.127
1139.143,-1.129
1142.213,-1.269
1155.387,-1.051
1174.611,-1.031
1194.655,-1.221
1211.415,-1.033
1225.312,-1.033
1237.892,-1.093
1250.612,-1.068
1263.858,-0.939
1277.328,-1.079
1290.709,-1.01
1303.835,-1.04
1316.759,-0.935
1329.556,-1.002
1342.288,-1.248
1354.968,-1.42
1367.595,-2.062
1380.172,-2.038
1392.726,-1.991
1405.301,-2.065
1417.941,-1.623
1430.651,-1.526
1443.38,-1.704
1456.071,-1.659
1468.681,-1.674
1481.209,-1.731
1493.668,-1.831
1506.071,-1.951
1518.448,-1.78
1530.835,-1.773
1543.271,-1.519
1555.766,-1.416
1568.286,-1.519
1580.796,-1.556
1593.254,-1.776
1605.604,-1.468
1617.787,-1.778
1629.747,-1.518
1641.494,-1.92
1653.074,-2.14
1664.537,-1.831
1675.938,-1.763
1687.338,-1.807
1698.804,-1.94
1710.374,-1.915
1721.996,-2.011
1733.593,-2.284
1745.094,-2.221
1756.519,-2.151
1767.939,-2.13
1779.431,-2.19
1790.984,-1.856
1802.466,-1.594
1813.732,-1.7
1824.657,-1.485
1835.199,-1.655
1845.335,-1.869
1855.063,-1.947
1864.606,-2.243
1874.334,-2.013
1884.615,-1.983
1895.609,-1.899
1907.145,-1.857
1919.028,-1.839
1931.1,-1.932
1943.362,-1.989
1955.856,-2.005
1968.617,-1.98
1981.612,-2.218
1994.765,-1.936
2007.998,-1.818
2021.231,-1.766
2034.383,-1.795
2047.37,-1.947
2060.149,-1.998
2072.847,-1.978
2085.628,-2.095
2098.646,-2.235
2111.899,-2.456
2125.286,-2.351
2138.705,-2.208
2152.093,-1.468
2165.444,-1.257
2178.758,-1.436
2192.039,-1.528
2205.298,-1.51
2218.549,-1.541
2231.807,-1.529
2245.088,-1.426
2258.409,-1.347
2271.786,-1.222
2285.229,-1.246
2298.73,-1.314
2312.281,-1.723
2325.87,-1.69
2339.458,-1.36
2353.003,-1.152
2366.465,-1.352
2379.856,-1.225
2393.22,-0.969
2406.601,-1.089
2420.026,-1.084
2433.499,-1.037
2447.022,-1.303
2460.589,-1.872
2474.174,-1.821
