###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,27.8
lon,113.9
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Jiulong
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
101.637,-5.043
112.772,-5.166
123.788,-5.326
134.683,-5.348
145.459,-5.326
156.118,-5.459
166.658,-5.575
177.083,-5.821
187.391,-5.943
197.583,-5.722
207.662,-5.597
217.626,-5.709
227.478,-5.751
237.217,-6.003
246.845,-5.923
256.362,-5.986
265.769,-6.127
275.067,-6.129
284.256,-6.25
293.338,-6.161
302.312,-6.144
311.181,-6.237
319.943,-6.309
328.601,-6.348
337.155,-6.285
345.606,-6.079
353.954,-6.111
362.2,-6.136
370.345,-6.11
378.39,-6.203
386.336,-6.259
394.182,-6.315
401.93,-6.415
409.582,-6.429
417.136,-6.387
424.595,-6.331
431.959,-6.256
439.228,-6.351
446.404,-6.295
453.486,-6.346
460.477,-6.463
467.377,-6.406
474.185,-6.513
480.904,-6.496
487.534,-6.458
494.075,-6.431
500.529,-6.404
506.896,-6.411
513.177,-6.337
519.372,-6.195
525.483,-6.231
531.51,-6.277
537.454,-6.364
543.315,-6.448
549.095,-6.541
554.794,-6.496
560.413,-6.41
565.952,-6.284
571.412,-6.179
582.1,-6.388
602.566,-6.393
621.855,-6.392
640.018,-6.083
657.101,-6.06
673.152,-6.043
688.22,-6.065
702.35,-6.241
715.593,-6.428
727.994,-6.477
739.603,-6.383
750.466,-6.193
760.631,-6.361
770.147,-6.172
779.061,-6.261
787.421,-5.989
795.274,-5.868
802.669,-5.939
809.652,-6.235
816.272,-6.277
822.577,-6.296
828.614,-6.324
834.432,-5.956
840.077,-6.098
845.597,-6.264
851.041,-6.209
856.456,-5.89
861.89,-5.897
867.39,-5.91
873.005,-6.069
878.782,-6.188
884.769,-5.911
891.014,-6.242
897.564,-6.251
904.467,-6.229
911.771,-6.084
919.524,-5.899
927.773,-5.735
936.566,-5.59
945.951,-5.671
955.976,-5.352
966.689,-5.686
978.136,-5.711
990.367,-5.431
1003.428,-5.381
1017.368,-5.645
1032.218,-5.833
1047.945,-5.602
1064.498,-5.284
1081.829,-5.365
1099.888,-5.775
1118.624,-6.166
1137.989,-6.094
1157.933,-6.145
1178.406,-6.079
1199.359,-6.04
1220.741,-5.886
1242.503,-5.9
1264.596,-5.887
1286.97,-5.703
1309.575,-5.72
1332.362,-5.755
1355.281,-6.039
1378.282,-5.945
1401.316,-5.995
1424.333,-5.718
1447.292,-5.941
1470.185,-5.64
1493.012,-5.717
1515.775,-6.038
1538.475,-6.117
1561.11,-6.152
1583.684,-6.029
1606.195,-6.078
1628.645,-5.98
1651.035,-6.42
1673.365,-6.027
1695.636,-5.781
1717.848,-6.428
1740.002,-5.854
1762.099,-6.066
1784.139,-6.1
1806.123,-6.253
1828.053,-6.271
1849.928,-6.157
1871.748,-6.1
1893.516,-6.082
1915.232,-6.064
1936.895,-5.901
1958.507,-6.203
1980.069,-5.831
2001.58,-5.909
2023.043,-5.869
2044.457,-5.727
2065.823,-5.952
2087.142,-5.841
2108.415,-5.659
2129.642,-5.985
2150.823,-5.833
2171.96,-6.089
2193.054,-6.1
2214.104,-5.694
2235.111,-5.83
2256.077,-6.128
2277.002,-6.259
2297.886,-6.089
2318.73,-5.75
2339.535,-5.75
2360.302,-5.756
2381.031,-5.908
2401.723,-5.81
2422.378,-5.83
2442.997,-5.89
2463.582,-5.867
2484.132,-5.845
2504.648,-5.822
2525.13,-5.696
2545.573,-6.074
2565.974,-5.921
2586.327,-6.031
2606.626,-6.141
2626.867,-6.251
2647.044,-6.361
2667.153,-6.471
2687.189,-6.581
2707.146,-6.41
2727.019,-6.352
2746.804,-6.294
2766.496,-6.236
2786.088,-6.178
2805.578,-6.153
2824.958,-6.109
2844.225,-6.214
2863.373,-6.114
2882.397,-6.569
2901.292,-6.721
2920.053,-5.782
2938.675,-6.127
2957.153,-6.352
2975.483,-6.345
2993.658,-6.337
3011.674,-6.4
3029.526,-6.433
3047.209,-5.943
3064.717,-5.964
3082.046,-6.073
3099.191,-6.097
3116.147,-6.193
3132.908,-6.3
3149.47,-6.4
3165.827,-6.363
3181.975,-6.293
3197.908,-6.349
3213.622,-6.123
3229.111,-6.301
3244.37,-6.187
3259.395,-6.314
