###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,33.5667
lon,109.1
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Jiuxian
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
-48.0,-7.87
-45.0,-8.03
-42.0,-8.02
-39.0,-8.3
-35.0,-8.33
-31.0,-8.39
-28.0,-8.24
-25.0,-7.99
-21.0,-8.03
-18.0,-7.95
-9.0,-7.54
-6.0,-8.34
-3.0,-8.42
-2.0,-8.62
0.0,-8.55
5.0,-8.5
8.0,-8.68
12.0,-8.38
15.0,-8.1
16.0,-8.51
18.0,-8.99
27.0,-9.59
30.0,-9.73
33.0,-9.16
37.0,-8.62
40.0,-9.05
44.0,-9.15
47.0,-9.41
51.0,-8.59
54.0,-8.65
58.0,-9.0
62.0,-9.95
65.0,-8.65
69.0,-8.53
69.0,-8.15
72.0,-8.93
80.0,-9.08
84.0,-9.38
87.0,-10.39
90.0,-10.93
94.0,-9.54
98.0,-8.85
101.0,-8.77
105.0,-8.09
108.0,-7.78
111.0,-8.06
115.0,-9.01
118.0,-9.42
122.0,-9.25
126.0,-9.57
129.0,-9.69
133.0,-9.53
137.0,-10.23
140.0,-10.23
144.0,-10.74
147.0,-8.89
151.0,-8.97
154.0,-8.83
158.0,-9.31
162.0,-7.75
165.0,-7.9
168.0,-8.76
172.0,-8.17
175.0,-7.74
179.0,-8.19
182.0,-8.68
187.0,-8.91
190.0,-8.63
193.0,-8.64
196.0,-9.0
200.0,-8.83
204.0,-8.48
207.0,-8.11
210.0,-8.25
214.0,-7.76
218.0,-7.84
222.0,-8.86
225.0,-8.94
228.0,-8.83
232.0,-9.21
236.0,-8.91
239.0,-9.1
242.0,-9.18
246.0,-9.4
250.0,-9.05
253.0,-9.11
257.0,-9.77
261.0,-9.84
262.0,-9.49
264.0,-9.07
268.0,-8.4
273.0,-8.5
275.0,-8.67
279.0,-8.91
282.0,-9.17
285.0,-9.2
291.0,-9.42
293.0,-9.79
294.0,-9.9
296.0,-10.1
300.0,-9.75
302.0,-9.33
303.0,-9.21
304.0,-8.95
306.0,-9.17
309.0,-8.83
311.0,-9.22
312.0,-9.64
313.0,-9.86
315.0,-9.87
317.0,-9.37
319.0,-9.65
322.0,-9.28
326.0,-8.44
328.0,-7.46
330.0,-7.96
332.0,-8.23
334.0,-8.2
335.0,-8.35
337.0,-8.52
338.0,-8.88
340.0,-8.93
341.0,-9.0
343.0,-9.1
345.0,-8.95
348.0,-8.96
351.0,-8.55
354.0,-8.44
357.0,-8.32
360.0,-8.24
361.0,-8.64
363.0,-8.88
364.0,-8.73
367.0,-9.07
370.0,-9.34
373.0,-10.4
374.0,-10.1
377.0,-9.87
380.0,-10.44
382.0,-10.41
383.0,-9.93
385.0,-9.4
388.0,-8.81
391.0,-8.35
392.0,-8.48
