###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,-19.8
lon,63.4
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,LaVierge
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
2999.467,-3.485
3001.092,-3.129
3002.737,-3.103
3004.403,-2.979
3006.087,-3.082
3007.788,-3.292
3009.504,-3.305
3011.234,-3.205
3012.977,-3.446
3014.73,-3.651
3016.493,-3.489
3018.264,-3.391
3020.041,-3.678
3021.823,-3.373
3023.609,-3.076
3025.396,-3.625
3027.184,-3.85
3028.971,-3.592
3030.755,-3.116
3032.536,-3.232
3034.311,-3.233
3036.079,-3.14
3037.838,-3.054
3039.588,-3.102
3041.325,-3.183
3043.051,-3.798
3044.761,-4.442
3046.456,-4.746
3048.133,-4.205
3049.791,-4.412
3051.43,-5.251
3053.046,-5.181
3054.638,-4.663
3056.206,-4.084
3057.748,-3.246
3059.261,-3.451
3060.746,-3.331
3062.199,-2.922
3063.62,-3.15
3065.007,-3.098
3066.359,-3.117
3067.675,-3.505
3068.952,-3.439
3070.189,-3.237
3071.385,-3.189
3072.538,-3.268
3073.669,-3.22
3074.798,-3.146
3075.927,-3.257
3077.055,-3.408
3078.182,-3.389
3079.309,-3.926
3080.435,-3.866
3081.561,-3.644
3082.686,-3.984
3083.811,-4.021
3084.937,-4.266
3086.062,-5.113
3087.188,-4.881
3088.314,-3.913
3089.44,-3.863
3090.567,-4.464
3091.695,-4.835
3092.823,-4.16
3093.952,-3.917
3095.083,-3.752
3096.214,-3.69
3097.347,-3.809
3098.481,-4.098
3099.616,-4.223
3100.753,-4.366
3101.892,-4.205
3103.033,-4.323
3104.175,-4.508
3105.32,-4.509
3106.466,-4.376
3107.615,-4.088
3108.767,-3.892
3109.92,-3.683
3111.077,-3.737
3112.236,-3.838
3113.398,-4.077
3114.563,-4.199
3115.731,-4.087
3116.902,-3.815
3118.076,-3.812
3119.254,-4.254
3120.436,-4.991
3121.621,-5.369
3122.809,-4.972
3124.002,-4.902
3125.199,-4.514
3126.399,-4.068
3127.604,-4.049
3128.814,-4.173
3130.027,-4.121
3131.246,-4.078
3132.469,-4.181
3133.696,-4.323
3134.929,-4.531
3136.166,-4.385
3137.409,-4.131
3138.657,-4.122
3139.911,-4.247
3141.169,-4.329
3142.434,-4.37
3143.704,-4.378
3144.98,-4.433
3146.262,-4.714
3147.55,-4.73
3148.843,-4.594
3150.144,-4.382
3151.45,-4.25
3152.764,-4.233
3154.083,-4.155
3155.41,-4.034
3156.743,-3.958
3158.084,-3.816
3159.431,-3.764
3160.786,-3.857
3162.147,-3.653
3163.517,-3.543
3164.894,-3.42
3166.278,-3.479
3167.67,-3.566
3169.07,-3.707
3170.478,-3.893
3171.894,-3.742
3173.319,-3.624
3174.752,-3.486
3176.193,-3.304
3177.642,-3.329
3179.101,-3.508
3180.568,-3.687
3182.044,-3.976
3183.529,-3.924
3185.023,-4.11
3186.527,-4.14
3188.04,-4.155
3189.562,-4.143
3191.094,-4.021
3192.635,-4.106
3194.187,-3.939
3195.748,-3.902
3197.319,-3.797
3198.901,-3.916
3200.493,-3.923
3202.095,-4.152
3203.708,-4.245
3205.331,-4.52
3206.965,-4.469
3208.61,-4.257
3210.266,-4.055
3211.932,-3.919
3213.611,-3.575
3215.3,-3.762
3217.001,-3.753
3218.713,-3.699
3220.437,-3.653
3222.173,-3.458
3223.921,-3.5
3225.68,-3.502
3227.452,-3.597
3229.249,-3.544
3231.145,-3.659
3233.153,-3.673
3235.271,-3.903
3237.497,-3.778
3239.829,-3.858
3242.265,-3.817
3244.805,-4.078
3247.446,-3.998
3250.187,-3.926
3253.026,-4.08
3255.961,-3.92
3258.991,-3.88
3262.114,-3.776
