###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,29.48
lon,109.5333
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Lianhua
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
51.0,-5.431
60.0,-5.451
70.0,-5.635
79.0,-5.721
88.0,-5.62
98.0,-5.72
107.0,-5.668
116.0,-5.607
125.0,-5.604
135.0,-5.331
144.0,-5.431
154.0,-5.452
163.0,-5.492
173.0,-5.72
183.0,-5.679
193.0,-5.759
202.0,-5.771
212.0,-5.753
222.0,-5.791
232.0,-5.528
241.0,-5.673
251.0,-5.272
261.0,-5.302
271.0,-5.592
280.0,-5.396
290.0,-5.224
303.0,-5.104
315.0,-5.512
328.0,-5.623
340.0,-5.559
353.0,-5.379
366.0,-5.262
378.0,-5.421
391.0,-5.38
403.0,-5.51
416.0,-5.452
429.0,-5.523
441.0,-5.685
454.0,-5.658
466.0,-5.411
479.0,-5.495
499.0,-5.544
519.0,-5.676
539.0,-5.6
559.0,-5.494
579.0,-5.458
599.0,-5.552
619.0,-5.497
639.0,-5.509
661.0,-5.638
683.0,-5.462
704.0,-5.452
726.0,-5.395
748.0,-5.387
770.0,-5.345
791.0,-5.46
813.0,-5.441
840.0,-5.287
868.0,-5.283
895.0,-5.301
923.0,-5.356
950.0,-5.42
977.0,-5.525
1005.0,-5.26
1032.0,-5.268
1052.0,-5.419
1072.0,-5.484
1092.0,-5.56
1112.0,-5.288
1132.0,-5.332
1152.0,-5.394
1172.0,-5.36
1192.0,-5.496
1212.0,-5.515
1232.0,-5.175
1251.0,-5.445
1271.0,-5.385
1291.0,-5.816
1311.0,-5.741
1331.0,-5.234
1351.0,-5.42
1371.0,-5.459
1391.0,-5.894
1411.0,-5.874
1431.0,-5.885
1440.0,-5.868
1449.0,-5.71
1459.0,-5.723
1468.0,-5.601
1477.0,-5.526
1486.0,-5.573
1496.0,-5.508
1505.0,-5.531
1514.0,-5.725
1523.0,-5.758
1532.0,-6.21
1542.0,-6.176
1551.0,-5.992
1560.0,-5.888
1569.0,-5.651
1578.0,-5.675
1588.0,-5.82
1597.0,-5.826
1606.0,-5.926
1615.0,-5.843
1625.0,-5.747
1634.0,-5.796
1643.0,-5.5
1652.0,-5.42
1661.0,-5.497
1671.0,-5.571
1680.0,-5.634
1689.0,-5.654
1713.0,-5.746
1737.0,-5.775
1761.0,-5.913
1784.0,-5.906
1808.0,-5.875
1832.0,-5.828
1856.0,-5.928
1880.0,-5.888
1904.0,-5.872
1928.0,-5.842
1952.0,-5.593
1975.0,-5.596
1999.0,-5.617
2023.0,-5.295
2047.0,-5.421
2071.0,-5.495
2095.0,-5.639
2119.0,-5.555
2142.0,-5.525
2166.0,-5.535
2190.0,-5.334
2214.0,-5.41
2238.0,-5.464
2263.0,-5.561
2287.0,-5.48
2311.0,-5.483
2335.0,-5.614
2360.0,-5.456
2384.0,-5.556
2408.0,-5.649
2432.0,-5.666
2457.0,-5.907
2481.0,-5.737
2505.0,-5.431
2530.0,-5.689
2554.0,-5.712
2578.0,-5.743
2602.0,-5.613
2627.0,-5.507
2651.0,-5.718
2675.0,-5.608
2699.0,-5.703
2724.0,-5.849
2748.0,-5.843
2765.0,-5.809
2783.0,-5.737
2800.0,-6.04
2817.0,-5.677
2835.0,-5.721
2852.0,-5.908
2869.0,-5.653
2887.0,-5.955
2904.0,-5.955
2921.0,-6.078
2939.0,-6.1
2956.0,-5.984
2974.0,-6.036
2991.0,-6.06
3008.0,-6.133
3026.0,-6.298
3043.0,-6.009
3060.0,-5.797
3078.0,-6.193
3095.0,-6.23
3112.0,-6.559
3130.0,-6.432
3147.0,-5.722
3164.0,-5.77
3182.0,-5.771
3199.0,-5.842
3212.0,-5.745
3225.0,-5.68
3237.0,-6.127
3250.0,-6.116
3263.0,-6.188
3276.0,-6.26
3289.0,-5.849
3301.0,-6.043
3314.0,-6.049
3327.0,-6.142
3340.0,-6.401
3353.0,-6.433
3366.0,-6.445
3378.0,-6.39
3391.0,-6.348
3404.0,-6.049
3417.0,-6.12
3430.0,-6.112
3442.0,-6.12
3455.0,-6.223
3468.0,-6.132
3481.0,-6.007
3494.0,-6.26
3506.0,-6.382
3519.0,-6.368
3532.0,-6.232
3546.0,-5.745
3560.0,-5.877
3575.0,-6.01
3589.0,-6.247
3603.0,-6.173
3617.0,-6.241
3631.0,-6.205
3645.0,-6.455
3660.0,-6.435
3674.0,-6.154
3688.0,-6.125
3702.0,-6.306
3716.0,-6.543
3730.0,-6.542
3745.0,-6.522
3759.0,-6.526
3773.0,-6.234
3782.0,-6.319
3790.0,-6.245
3799.0,-6.246
3808.0,-6.344
3817.0,-6.613
3825.0,-6.476
3834.0,-6.569
3843.0,-6.538
3852.0,-6.713
3860.0,-7.03
3869.0,-6.893
3878.0,-6.724
3886.0,-6.628
3895.0,-6.735
3904.0,-6.865
3913.0,-6.83
3921.0,-6.829
3930.0,-6.717
3939.0,-6.492
3948.0,-6.461
3956.0,-6.542
3965.0,-6.626
3975.0,-6.757
3986.0,-6.851
3996.0,-6.936
4007.0,-6.845
4017.0,-6.549
4028.0,-6.624
4038.0,-6.369
4049.0,-6.528
4059.0,-6.598
4070.0,-6.76
4080.0,-6.754
4091.0,-6.657
4101.0,-6.728
4112.0,-6.66
4122.0,-6.358
4133.0,-6.498
4143.0,-6.805
4154.0,-6.842
4164.0,-6.843
4170.0,-6.964
4176.0,-6.842
4182.0,-6.656
4188.0,-6.79
4194.0,-6.662
4199.0,-6.514
4205.0,-6.576
4211.0,-6.783
4217.0,-6.77
4223.0,-6.721
4229.0,-6.59
4235.0,-6.442
4241.0,-6.453
4247.0,-6.564
4253.0,-6.715
4258.0,-6.761
4264.0,-6.696
4270.0,-6.791
4276.0,-6.857
4282.0,-7.024
4291.0,-7.06
4299.0,-7.053
4308.0,-6.924
4316.0,-6.873
4325.0,-6.821
4333.0,-6.896
4342.0,-6.801
4350.0,-6.693
4359.0,-6.725
4368.0,-6.918
4376.0,-7.109
4385.0,-6.882
4393.0,-6.64
4402.0,-6.666
4410.0,-6.71
4419.0,-6.844
4427.0,-7.005
4436.0,-7.052
4444.0,-6.807
4453.0,-6.618
4460.0,-6.865
4467.0,-6.755
4473.0,-6.64
4480.0,-6.623
4487.0,-6.738
4494.0,-6.67
4501.0,-6.567
4508.0,-6.889
4514.0,-7.168
4521.0,-7.029
4528.0,-7.239
4535.0,-7.251
4542.0,-7.227
4549.0,-7.293
4555.0,-7.156
4562.0,-6.857
4569.0,-6.864
4578.0,-7.066
