###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,41.02
lon,125.82
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Liuli
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
-54.76,-8.26
-49.51,-7.8
-44.27,-8.13
-39.03,-8.09
-33.79,-7.93
-28.54,-7.69
-23.3,-7.21
-18.06,-7.3
-12.82,-7.5
-7.57,-7.61
-2.27,-7.72
3.02,-7.89
8.32,-7.73
13.62,-7.47
18.92,-7.5
24.22,-7.28
29.52,-7.23
34.82,-7.33
40.12,-7.4
45.42,-7.69
50.21,-7.19
55.0,-7.18
59.79,-7.08
64.58,-7.24
69.38,-7.17
74.17,-7.13
78.96,-7.1
83.75,-7.3
88.55,-7.12
93.34,-7.75
98.82,-7.76
104.31,-7.84
109.79,-7.65
115.27,-7.61
120.76,-7.72
126.24,-7.79
131.73,-7.65
137.21,-7.46
142.69,-7.34
148.18,-7.46
155.12,-7.33
162.06,-7.35
169.0,-7.22
175.94,-6.59
182.88,-6.63
189.82,-6.83
196.76,-7.5
203.7,-7.23
210.64,-6.96
217.58,-6.82
223.28,-6.77
228.99,-6.98
234.69,-7.26
240.39,-7.42
246.1,-7.43
251.8,-7.66
257.5,-7.22
263.21,-7.16
268.91,-7.3
274.61,-7.43
280.52,-7.37
286.43,-7.38
292.34,-7.72
298.25,-7.85
304.16,-7.77
310.07,-7.72
315.98,-7.42
321.89,-7.66
327.8,-7.53
333.71,-6.8
338.29,-6.67
342.88,-6.87
347.46,-7.31
352.04,-7.47
356.62,-7.35
361.2,-7.68
365.78,-7.7
370.36,-7.59
374.94,-7.79
379.53,-7.5
384.5,-7.34
389.47,-7.36
394.45,-7.46
399.42,-7.57
404.4,-7.57
409.37,-7.37
414.35,-7.58
419.32,-7.99
424.3,-8.1
429.27,-7.72
433.52,-7.57
437.78,-7.33
442.03,-7.52
446.28,-7.62
450.54,-7.66
454.79,-7.45
459.04,-7.38
463.3,-7.66
467.55,-7.87
471.81,-8.07
474.52,-8.12
477.23,-8.03
479.94,-7.94
482.65,-7.93
485.36,-7.95
488.07,-8.14
490.79,-7.92
493.5,-7.5
496.21,-7.49
498.92,-7.21
503.6,-7.28
508.27,-7.32
512.95,-7.07
517.63,-7.32
522.3,-6.86
526.98,-7.08
531.66,-7.19
536.33,-7.19
541.01,-7.36
545.69,-7.53
547.64,-7.65
549.6,-7.83
551.56,-7.69
553.51,-7.86
555.47,-8.51
557.42,-7.34
559.38,-7.29
561.33,-7.28
563.29,-7.44
565.25,-7.77
569.42,-7.517
573.59,
577.77,-7.819
581.94,-7.56
586.11,-7.904
590.29,-7.88
594.46,-7.87
598.64,-8.303
602.81,-8.52
606.98,-8.451
609.2,-8.62
611.42,-8.33
613.64,-8.14
615.86,-8.15
618.08,-8.1
620.3,-7.9
622.52,-7.79
624.74,-7.52
626.97,-7.49
629.19,-7.67
633.43,-7.79
637.67,-8.0
641.91,-7.89
646.15,-7.91
650.39,-7.74
654.63,-7.48
658.87,-7.74
663.11,-7.64
667.35,-7.51
671.59,-7.48
675.51,
679.44,-7.59
683.36,-7.61
687.29,-7.59
691.21,-7.66
695.14,-7.61
699.06,-7.59
702.99,-7.6
706.91,-7.61
710.84,-7.56
715.64,-7.6
720.45,-7.98
725.26,-7.93
730.06,-7.47
734.87,-7.23
739.68,-7.72
744.48,-7.63
749.29,-7.63
754.1,-7.54
758.91,-7.41
766.09,-7.43
773.28,-7.37
780.47,-7.41
787.66,-7.45
794.85,-7.28
802.03,-7.04
809.22,-7.39
816.41,-7.4
823.6,-7.43
830.79,-7.27
837.34,-7.41
843.9,-7.61
850.46,-7.31
857.01,-7.09
863.57,-7.26
870.13,-7.12
876.68,-7.6
883.24,-7.34
889.8,-7.52
896.35,-7.51
903.51,-7.48
910.67,-7.63
917.82,-7.72
924.98,-7.62
932.14,-7.51
939.29,-7.41
946.45,-7.401
953.61,-7.384
960.77,-7.491
967.92,-7.622
976.22,-7.788
984.51,-7.989
992.81,-8.041
1001.1,-7.931
1009.4,-7.935
1017.69,-7.97
1025.99,-7.83
1034.28,-7.74
1042.57,-7.64
1050.87,-7.31
1082.05,-7.61
1113.23,-7.21
1144.41,-7.18
1169.9,-7.61
1195.39,-7.42
1220.88,-7.77
1246.37,-7.56
1280.56,-7.44
1314.76,-7.69
1348.96,-7.41
1378.41,-7.41
1407.86,-7.3
1430.67,-7.49
1453.48,-7.44
1471.62,-7.34
1489.75,-7.28
1507.88,-7.2
1528.27,-6.72
1548.66,-7.04
1561.41,-7.16
1574.16,-7.22
1586.92,-7.08
1599.67,-7.45
1633.3,-7.54
1666.93,-7.5
1715.94,-7.14
1764.96,-6.93
1813.97,-7.1
1842.63,-7.24
1871.3,-7.02
1899.96,-6.82
1928.5,-6.65
1957.03,-6.87
1985.57,-7.18
2011.92,-6.7
2038.27,-6.86
2064.62,-7.03
2101.6,-7.07
2138.59,-6.95
2175.57,-7.17
2193.76,-7.31
2211.95,-7.46
2230.14,-7.47
2241.39,-7.37
2252.64,-7.6
2263.89,-7.36
2275.14,-7.97
2285.14,-7.78
2295.14,-7.16
2305.14,-7.48
2329.14,-7.83
2353.14,-7.26
2377.14,-7.72
2395.81,-8.0
2414.47,-7.49
2433.14,-7.87
2461.14,-8.11
2489.14,-7.7
2505.64,-7.66
2522.14,-7.31
2538.64,-7.51
2555.14,-7.6
2563.14,-7.66
2571.14,-7.96
2579.14,-8.25
2590.64,-8.32
2602.14,-7.82
2624.81,-7.37
2647.47,-7.29
2670.14,-7.43
2689.14,-7.69
2708.14,-7.92
2727.14,-7.92
2745.47,-7.95
2763.81,-8.09
2782.14,-8.04
2797.47,-7.75
2812.81,-7.52
2828.14,-7.6
2850.47,-7.39
2872.81,-7.6
2895.14,-7.39
2924.64,-7.76
2954.14,-7.67
2971.47,-7.15
2988.81,-7.11
3006.14,-7.68
3022.47,-7.77
3038.81,-7.85
3055.14,-8.42
3071.47,-8.0
3439.13,-7.57
3456.13,-7.43
3473.13,-7.23
3490.13,-7.78
3504.63,-7.51
3519.13,-7.41
3533.63,-7.23
3548.13,-7.76
3561.09,-7.16
3574.05,-7.32
3587.0,-7.23
3602.97,-7.48
3618.95,-7.46
3634.92,-7.41
3656.91,-7.41
3678.91,-7.04
3700.91,-7.52
3722.91,-7.56
3744.9,-7.62
3766.9,-7.71
3786.19,-8.05
3805.47,-7.37
3824.76,-7.94
3839.82,-7.4
3854.89,-7.74
3869.96,-7.85
3883.52,-7.78
3897.08,-7.63
3910.64,-7.69
3920.28,-7.68
3929.92,-7.8
3939.56,-7.82
3963.52,-8.3
3987.48,-8.37
3995.91,-8.43
4004.35,-8.04
4012.79,-8.42
4031.47,-8.05
4050.15,-8.61
4068.84,-8.25
4096.56,-8.37
4124.28,-8.34
4152.0,-8.17
4169.78,-8.04
4187.56,-8.01
4205.34,-8.04
4228.24,-8.14
4251.14,-8.23
4274.04,-8.45
4287.38,-7.99
4300.71,-8.02
4314.05,-8.19
4327.38,-8.39
4346.36,-8.23
4365.35,-8.22
4384.33,-8.24
4405.58,-8.29
4426.82,-7.98
4473.83,-8.19
4520.84,-8.12
4544.34,-8.6
4567.84,-8.18
4591.35,-7.98
4614.85,-8.27
4650.11,-8.56
4685.36,-8.6
4692.37,-8.56
4699.38,-8.52
4706.38,-8.31
4713.39,-8.35
4726.95,-8.52
4740.51,-8.44
4754.07,-8.29
4767.63,-8.89
4781.19,-8.69
4794.75,-8.84
4804.69,-8.09
4814.64,-8.3
4824.58,-8.41
4837.24,-8.17
4849.89,-8.32
4862.55,-8.38
4874.0,-9.0
4885.45,-8.39
4896.9,-8.55
4909.56,-8.91
4922.21,-8.28
4934.87,-8.3
4947.52,-8.53
4960.18,-7.88
4972.84,-8.07
4984.29,-8.1
4995.74,-8.3
5007.19,-8.87
5027.98,-8.33
5048.77,-8.45
5065.95,-8.72
5083.12,-8.86
5100.3,-9.0
5115.67,-8.89
5131.04,-8.38
5146.4,-8.82
5161.77,-8.23
5177.14,-8.1
5192.51,-8.09
5205.77,-8.18
5219.03,-8.39
5232.28,-7.98
5244.94,-8.78
5257.6,-8.35
5270.25,-8.45
5281.4,-8.59
5292.55,-8.39
5303.7,-8.05
5314.85,-8.64
5326.0,-8.03
5337.15,-8.14
5350.41,-8.22
5363.67,-8.34
5376.92,-8.05
5389.58,-8.08
5402.24,-8.67
5414.89,-8.75
5426.64,-7.97
5438.4,-8.44
5450.15,-8.1
5460.09,-8.07
5470.04,-8.45
5479.98,-7.76
5489.92,-8.55
5505.59,-8.9
5521.26,-8.84
5536.93,-8.41
5562.7,-8.92
5588.46,-8.71
5597.5,-8.67
5606.54,-8.36
5615.58,-8.3
5625.75,-8.1
5635.92,-8.1
5646.09,-8.16
5656.26,-8.12
5671.03,-8.27
5685.79,-8.41
5700.56,-8.27
5719.24,-8.29
5737.92,-8.33
5756.6,-8.62
5793.22,-8.77
5829.83,-8.73
5854.24,-8.37
5878.64,-8.39
5903.05,-8.45
5931.3,-8.73
5959.55,-8.2
5987.8,-8.09
6016.05,-8.35
6033.53,-8.4
6051.01,-7.84
6068.48,-8.02
6076.32,-8.36
6084.15,-8.63
6091.99,-8.26
6097.59,-7.93
6103.2,-7.98
6108.8,-8.21
6114.41,-8.42
6120.01,-8.44
6131.31,-8.62
6142.61,-8.46
6150.15,-8.42
6157.68,-8.35
6165.21,-8.44
6173.65,-8.45
6182.09,-8.23
6190.52,-8.26
6206.19,-8.57
6221.86,-8.45
6237.53,-8.39
6258.02,-8.48
6278.51,-8.1
6299.0,-7.97
6322.0,-7.95
6345.0,-7.88
6550.58,-7.71
6572.58,-7.91
6594.58,-7.73
6616.58,-7.55
6638.58,-7.81
6660.58,-7.97
6682.58,-8.03
