###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,25.2622
lon,91.8167
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Mawmluh
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
3653.0,-5.99
3659.0,-6.343
3665.0,-6.371
3671.0,-6.157
3677.0,-6.107
3683.0,-6.139
3689.0,-6.265
3695.0,-6.42
3701.0,-6.456
3707.0,-6.474
3713.0,-6.6
3719.0,-6.737
3725.0,-6.997
3731.0,-7.168
3737.0,-6.738
3743.0,-6.389
3749.0,-6.367
3755.0,-6.402
3761.0,-6.606
3767.0,-6.723
3773.0,-6.637
3779.0,-6.627
3785.0,-6.775
3791.0,-6.809
3797.0,-6.607
3803.0,-6.507
3809.0,-6.625
3815.0,-6.783
3821.0,-7.039
3827.0,-7.19
3833.0,-6.974
3839.0,-6.782
3845.0,-6.726
3851.0,-6.673
3857.0,-6.653
3863.0,-6.634
3869.0,-6.664
3875.0,-6.696
3881.0,-6.68
3887.0,-6.655
3893.0,-6.168
3899.0,-5.518
3905.0,-4.868
3911.0,-4.627
3917.0,-4.593
3923.0,-4.704
3929.0,-4.723
3935.0,-5.45
3941.0,-5.787
3947.0,-4.835
3953.0,-4.559
3959.0,-4.757
3965.0,-5.084
3971.0,-4.683
3977.0,-4.615
3983.0,-4.711
3989.0,-4.85
3995.0,-4.693
4001.0,-4.708
4007.0,-4.707
4013.0,-4.708
4019.0,-4.843
4025.0,-4.886
4031.0,-4.658
4037.0,-4.456
4043.0,-4.484
4049.0,-4.512
4055.0,-4.898
4061.0,-5.303
4067.0,-5.692
4073.0,-5.891
4079.0,-5.68
4085.0,-5.469
4091.0,-5.669
4097.0,-5.868
4103.0,-5.776
4109.0,-5.429
4115.0,-5.334
4121.0,-5.71
4127.0,-6.114
4133.0,-6.01
4139.0,-5.441
4145.0,-5.496
4151.0,-5.703
4157.0,-6.184
4163.0,-6.114
4169.0,-5.838
4175.0,-5.725
4181.0,-5.91
4187.0,-5.849
4193.0,-5.713
4199.0,-5.681
4205.0,-5.706
4211.0,-5.179
4217.0,-5.584
4223.0,-5.599
4229.0,-5.748
4235.0,-5.871
4241.0,-5.729
4247.0,-5.65
4253.0,-5.572
4259.0,-5.587
4265.0,-5.733
4271.0,-5.88
4277.0,-5.786
4283.0,-5.686
4289.0,-5.663
4295.0,-5.755
4301.0,-5.604
4307.0,-5.347
4313.0,-6.236
4319.0,-6.443
4325.0,-6.402
4331.0,-6.588
4337.0,-6.548
4343.0,-6.212
4349.0,-6.398
4355.0,-6.566
4361.0,-6.401
4367.0,-6.235
4373.0,-6.07
4379.0,-5.85
4385.0,-5.676
4391.0,-5.625
4397.0,-5.586
4403.0,-5.591
4409.0,-6.0
4415.0,-6.346
4421.0,-6.087
4427.0,-6.322
4433.0,-6.694
4457.0,-6.085
4463.0,-5.862
4469.0,-6.151
4475.0,-6.288
4481.0,-5.901
4487.0,-6.218
4493.0,-6.611
4499.0,-6.212
4505.0,-6.183
4511.0,-6.457
4517.0,-6.23
4523.0,-5.879
4529.0,-6.052
4535.0,-6.204
4541.0,-6.304
4547.0,-6.476
4553.0,-6.651
4559.0,-6.188
4565.0,-6.072
4571.0,-6.134
4577.0,-6.089
4583.0,-6.077
4589.0,-6.205
4595.0,-6.259
4601.0,-6.203
4607.0,-6.325
4613.0,-6.419
4619.0,-6.196
4625.0,-6.208
4631.0,-6.296
4637.0,-6.163
4643.0,-6.056
4649.0,-6.055
4655.0,-6.034
4661.0,-6.003
4667.0,-6.032
4673.0,-6.063
4679.0,-6.11
4685.0,-6.139
4691.0,-6.165
4697.0,-6.22
4703.0,-6.343
4709.0,-6.517
4715.0,-6.618
4721.0,-6.647
4727.0,-6.626
4733.0,-6.545
4739.0,-6.308
4745.0,-6.49
4751.0,-6.693
4757.0,-6.491
4763.0,-6.439
4769.0,-6.475
4775.0,-6.194
4781.0,-5.94
4787.0,-6.043
4793.0,-6.083
4799.0,-6.022
4805.0,-6.314
4811.0,-6.576
4817.0,-6.251
4823.0,-6.121
4829.0,-6.085
4835.0,-6.081
4841.0,-6.102
4847.0,-6.092
4853.0,-5.713
4859.0,-5.691
4865.0,-5.746
4871.0,-5.765
4877.0,-5.546
4883.0,-5.796
4889.0,-6.159
4895.0,-6.057
4901.0,-6.033
4907.0,-6.182
4913.0,-6.119
4919.0,-5.962
4925.0,-6.193
4931.0,-6.328
4937.0,-6.136
4943.0,-6.207
4949.0,-6.306
4955.0,-6.157
4961.0,-6.218
4967.0,-6.425
4973.0,-6.359
4979.0,-6.263
4985.0,-6.446
4991.0,-6.497
4997.0,-6.296
5003.0,-6.422
5009.0,-6.539
5015.0,-6.419
5021.0,-6.485
5027.0,-6.626
5033.0,-6.418
