###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,17.17
lon,54.3
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Oman
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
401.88,-0.2
408.55,-0.59
424.07,-0.58
438.75,-0.73
450.24,-1.26
461.35,-1.19
472.41,-0.69
483.27,-0.89
493.78,-1.26
504.24,-1.17
514.5,-1.39
524.56,-1.49
534.3,-0.74
543.98,-0.76
553.49,-0.78
562.67,-0.54
571.82,-0.26
580.78,-0.41
589.45,-0.7
598.07,-0.92
606.52,-0.89
614.69,-0.64
622.82,-0.76
630.79,-0.54
638.49,-0.48
646.16,-0.5
653.76,-0.63
661.24,-0.5
668.8,-0.6
676.32,-0.53
683.8,-0.61
691.13,-0.25
698.52,-0.72
705.84,-0.49
713.01,-0.12
720.21,0.03
727.33,-0.28
734.28,-0.54
741.24,-1.13
748.11,-1.05
754.79,-0.98
761.47,-0.17
768.03,-0.64
774.4,-0.25
780.74,-0.34
786.95,-0.74
792.95,-0.29
798.9,-0.58
804.71,-0.62
810.38,-0.24
815.81,-0.25
821.17,0.11
826.36,0.07
831.32,-0.25
836.17,-0.57
840.84,-0.53
2374.1,-0.85
2386.05,-0.99
2398.07,-1.08
2409.97,-1.01
2422.1,-0.9
2434.27,-1.06
2446.31,-1.28
2458.54,-1.16
2470.79,-1.06
2482.88,-0.98
2495.14,-1.47
2507.4,-1.0
2519.64,-1.21
2531.68,-1.35
2543.86,-1.39
2556.0,-1.2
2567.91,-1.36
2579.94,-1.3
2591.91,-1.08
2603.62,-1.05
2615.42,-1.04
2627.13,-0.97
2638.57,-1.04
2650.07,-1.18
2661.44,-1.15
2672.53,-1.11
2683.64,-1.02
2694.61,-0.97
2705.27,-0.72
2715.93,-0.84
2726.41,-0.54
2736.71,-0.68
2746.68,-0.54
2756.6,-0.89
2766.32,-0.78
2775.68,-0.93
2784.96,-0.83
2794.01,-0.9
2802.7,-0.87
2811.26,-0.75
2819.57,-0.84
2827.5,-0.85
2835.27,-0.98
2842.76,-0.91
2849.85,-0.71
2856.75,-0.94
2863.34,-0.99
2869.53,-1.03
2875.48,-1.16
2881.1,-1.14
2886.5,-1.13
2891.68,-1.19
2896.8,-1.13
2901.78,-1.2
2906.56,-1.15
2911.29,-1.01
2915.9,-1.0
2920.34,-0.96
2924.74,-0.88
2929.04,-0.59
2933.2,-1.03
2937.33,-0.76
2941.39,-0.72
2945.31,-1.04
2949.24,-0.99
2953.1,-0.79
2956.86,-0.98
2960.63,-0.75
2964.37,-1.0
2968.07,-1.05
2971.7,-0.95
2975.36,-0.63
2979.01,-0.83
2982.6,-1.29
2986.25,-0.98
2989.9,-0.96
2993.53,-1.17
2997.25,-1.16
3001.0,-1.1
3004.74,-1.0
3008.56,-1.18
3012.4,-0.99
3016.21,-1.1
3020.1,-0.9
3024.01,-0.98
3027.88,-1.08
3031.81,-1.1
3035.75,-1.13
3039.64,-1.22
3043.59,-1.28
3047.54,-1.1
3051.48,-1.06
3055.36,-1.24
3059.29,-1.32
3063.2,-1.19
3067.05,-1.17
3070.92,-1.02
3074.78,-1.34
3078.55,-1.38
3082.35,-1.04
3086.12,-1.28
3089.8,-1.15
3093.5,-0.8
3097.15,-0.88
3100.71,-1.0
3104.28,-1.23
3107.79,-0.92
3111.2,-0.68
3114.6,-1.9
3117.97,-0.91
3121.45,-1.09
3125.01,-1.12
3128.74,-1.0
3132.58,-1.12
3136.46,-1.13
3140.48,-1.23
3144.56,-0.85
3148.65,-0.75
3152.84,-0.82
3157.07,-0.49
3161.26,-0.66
3165.52,-0.81
3169.77,-0.77
3173.96,-0.8
3178.18,-0.92
3182.36,-1.03
3186.43,-0.93
3190.51,-1.01
3194.5,-1.11
3198.41,-1.26
3202.17,-1.2
3205.88,-1.12
3209.46,-1.12
3212.86,-1.25
3216.16,-1.81
3219.3,-0.87
3222.24,-0.99
3225.08,-1.08
3227.9,-1.16
3230.66,-1.17
3233.43,-0.74
3236.18,-0.99
3238.88,-0.82
3241.59,-0.77
3244.29,-0.97
3246.94,-0.81
3249.61,-0.81
3252.26,-0.95
3254.91,-1.07
3257.51,-1.13
3260.14,-1.04
3262.76,-1.14
3265.34,-1.09
3267.96,-0.94
3270.57,-0.82
3273.14,-0.86
3275.75,-0.69
3278.37,-0.71
3280.94,-0.58
3283.57,-0.72
3286.19,-0.83
3288.79,-0.68
3291.43,-0.5
3294.09,-0.74
3296.71,-0.68
3299.39,-0.82
3302.08,-1.13
3304.79,-1.11
3307.48,-1.16
3310.23,-0.84
3312.99,-1.11
3315.74,-0.67
3318.55,-0.79
3321.38,-0.73
3324.2,-0.71
3327.09,-0.65
3330.01,-0.5
3332.91,-0.58
3335.89,-0.71
3338.89,-0.71
3341.84,-0.66
3344.83,-1.08
3347.82,-1.05
3350.78,-1.18
3353.79,-1.23
3356.82,-0.93
3359.87,-1.05
3362.92,-1.26
3366.04,-1.17
3369.2,-1.36
3372.37,-1.09
3375.64,-1.21
3378.97,-1.22
3382.31,-1.15
