###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,30.6
lon,77.87
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Sahiya
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
2597.073,-9.546
2600.15,-9.674
2603.226,-9.875
2606.302,-9.987
2609.379,-9.926
2612.455,-9.792
2615.531,-9.525
2618.608,-9.071
2621.684,-8.96
2624.761,-9.028
2627.837,-9.08
2630.913,-9.111
2633.99,-8.991
2637.066,-8.864
2640.142,-8.962
2643.219,-8.693
2646.295,-8.754
2649.372,-8.539
2652.448,-8.323
2655.524,-8.56
2658.601,-8.453
2661.677,-8.576
2664.753,-8.455
2667.83,-8.696
2670.906,-8.526
2673.983,-8.221
2677.059,-8.709
2680.135,-8.968
2683.212,-9.375
2686.288,-9.149
2689.364,-9.127
2692.441,-8.657
2695.517,-8.991
2698.593,-9.408
2701.67,-9.141
2704.746,-9.101
2707.823,-8.984
2710.899,-8.885
2713.975,-9.239
2717.052,-9.103
2720.128,-9.008
2721.607,-8.956
2723.086,-8.937
2724.566,-9.156
2726.045,-9.002
2727.524,-9.075
2729.003,-8.851
2730.482,-9.237
2731.962,-9.25
2733.441,-9.129
2734.92,-9.133
2736.399,-8.953
2737.878,-9.077
2739.357,-9.108
2740.837,-9.092
2742.316,-9.003
2743.795,-9.131
2745.274,-9.035
2746.753,-8.934
2748.232,-9.074
2749.712,-9.309
2751.191,-9.306
2752.67,-9.324
2754.149,-9.305
2755.628,-9.338
2757.108,-9.405
2758.587,-9.185
2761.545,-9.152
2763.024,-9.29
2764.503,-9.327
2765.983,-9.031
2767.462,-8.754
2768.941,-9.068
2770.42,-9.368
2771.899,-9.15
2773.379,-8.887
2774.858,-9.097
2776.337,-9.156
2777.816,-9.177
2779.295,-9.373
2779.827,-9.263
2780.36,-9.553
2780.892,-9.429
2781.424,-9.5
2781.956,-9.461
2782.488,-9.444
2783.02,-9.233
2783.552,-9.291
2784.084,-9.381
2784.616,-9.373
2785.149,-9.344
2785.681,-9.128
2786.213,-9.061
2786.745,-9.369
2787.277,-9.079
2787.809,-8.953
2788.341,-9.013
2788.873,-9.002
2789.405,-8.87
2789.938,-8.969
2790.47,-8.911
2791.002,-8.954
2791.534,-8.99
2792.066,-8.799
2792.598,-8.697
2793.13,-8.954
2793.662,-9.046
2794.195,-9.245
2794.727,-9.019
2795.259,-8.886
2795.791,-9.032
2796.323,-8.938
2796.855,-8.845
2797.387,-9.0
2797.919,-9.234
2798.451,-9.19
2798.984,-9.16
2799.516,-9.102
2800.048,-9.233
2800.58,-9.187
2801.112,-9.266
2801.644,-9.178
2802.176,-9.23
2802.708,-9.243
2803.24,-9.234
2803.773,-9.307
2804.305,-9.346
2804.837,-9.4
2805.369,-8.993
2805.901,-9.276
2806.433,-9.254
2806.965,-9.277
2807.497,-9.465
2808.029,-9.283
2808.562,-9.166
2809.094,-8.834
2809.626,-8.865
2810.158,-9.142
2810.69,-9.166
2811.222,-9.478
2812.699,-9.371
2814.175,-9.132
2815.652,-9.103
2817.128,-9.152
2818.605,-9.154
2821.558,-9.21
2823.034,-9.332
2824.511,-9.276
2825.988,-9.342
2827.464,-9.277
2828.941,-9.271
2830.417,-9.343
2831.894,-9.507
2833.37,-9.391
2834.847,-9.051
2836.323,-9.257
2837.8,-9.228
2839.276,-9.299
2840.753,-8.722
2842.229,-9.22
2843.706,-9.02
2845.182,-8.942
2846.659,-8.642
2848.136,-8.937
2849.612,-8.883
2851.089,-8.955
2852.565,-8.995
2854.042,-8.927
2855.518,-8.926
2856.995,-8.924
2858.471,-8.864
2859.948,-8.851
2861.424,-8.79
2862.901,-8.655
2864.377,-8.713
2865.854,-9.138
2867.331,-9.234
2868.807,-9.385
2870.284,-9.334
2871.76,-9.238
2873.237,-9.162
2874.713,-9.201
2876.19,-9.246
2877.666,-9.374
2879.143,-9.267
2880.619,-9.251
2882.096,-9.02
2883.572,-8.916
2885.049,-9.206
2886.525,-9.203
2888.002,-9.079
2889.479,-9.21
2890.955,-9.009
2892.432,-8.996
2893.908,-8.892
2895.385,-9.111
2896.861,-9.088
2898.338,-9.154
2899.814,-8.732
2901.291,-9.025
2902.767,-9.262
2904.244,-9.569
2905.72,-9.661
2907.197,-9.303
2908.673,-9.285
2910.15,-9.266
2911.627,-9.706
2913.103,-9.743
2914.58,-9.849
2916.056,-9.342
2917.533,-9.6
2919.009,-9.619
2920.486,-9.188
2921.962,-9.181
2923.439,-9.304
2924.915,-9.657
2926.392,-9.483
2927.868,-9.373
2929.345,-9.575
2930.821,-9.773
2932.298,-9.731
2933.775,-9.688
2935.251,-9.762
2936.728,-9.609
2938.204,-9.411
