###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,-0.36
lon,100.76
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Tangga
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
159.0,-7.98
172.0,-7.82
184.0,-7.71
196.0,-7.94
209.0,-8.16
221.0,-8.08
233.0,-8.14
246.0,-7.98
258.0,-7.91
271.0,-7.94
284.0,-7.79
299.0,-8.15
313.0,-8.15
327.0,-8.12
342.0,-8.27
356.0,-8.14
371.0,-8.05
385.0,-8.02
400.0,-8.07
414.0,-8.12
430.0,-7.82
448.0,-7.95
466.0,-8.07
484.0,-7.63
502.0,-7.65
519.0,-7.79
537.0,-7.9
555.0,-7.93
573.0,-7.88
590.0,-7.85
610.0,-7.72
631.0,-7.85
651.0,-7.49
672.0,-7.64
693.0,-7.92
714.0,-7.65
734.0,-7.73
755.0,-7.87
776.0,-7.75
797.0,-7.89
818.0,-7.89
840.0,-8.05
863.0,-7.82
885.0,-7.92
907.0,-7.97
929.0,-7.6
951.0,-7.99
973.0,-7.55
995.0,-7.79
1017.0,-7.77
1038.0,-7.91
1058.0,-8.02
1078.0,-7.79
1098.0,-7.81
1118.0,-7.82
1138.0,-7.71
1158.0,-7.94
1178.0,-7.79
1198.0,-7.75
1218.0,-7.56
1235.0,-7.81
1249.0,-7.86
1263.0,-7.73
1276.0,-7.68
1290.0,-7.59
1304.0,-7.38
1318.0,-7.46
1332.0,-7.41
1346.0,-7.41
1360.0,-7.43
1373.0,-7.52
1386.0,-7.54
1398.0,-7.54
1411.0,-7.57
1423.0,-7.46
1436.0,-7.53
1448.0,-7.27
1461.0,-7.41
1473.0,-7.4
1486.0,-7.44
1499.0,-7.36
1512.0,-7.12
1525.0,-7.37
1539.0,-7.46
1552.0,-7.38
1565.0,-7.37
1578.0,-7.31
1592.0,-7.39
1605.0,-8.15
1618.0,-8.02
1632.0,-7.68
1648.0,-7.8
1663.0,-7.81
1679.0,-7.98
1694.0,-7.46
1710.0,-7.48
1725.0,-7.53
1741.0,-7.64
1756.0,-7.72
1772.0,-7.71
1789.0,-7.64
1807.0,-7.38
1826.0,-7.32
1844.0,-7.48
1863.0,-7.75
1882.0,-7.66
1900.0,-7.55
1919.0,-7.55
1937.0,-7.73
1956.0,-7.85
1974.0,-7.65
1993.0,-7.83
2012.0,-7.91
2031.0,-7.71
2050.0,-7.53
2069.0,-7.6
2087.0,-7.64
2106.0,-7.78
2125.0,-7.77
2143.0,-7.59
2160.0,-7.56
2175.0,-7.78
2190.0,-7.61
2205.0,-7.63
2219.0,-7.59
2234.0,-7.67
2249.0,-7.58
2264.0,-7.51
2278.0,-7.6
2293.0,-7.48
2306.0,-7.49
2318.0,-7.55
2330.0,-7.48
2342.0,-7.42
2354.0,-7.55
2366.0,-7.62
2378.0,-7.69
2389.0,-7.38
2401.0,-7.58
2413.0,-7.7
2425.0,-7.77
2437.0,-7.59
2450.0,-8.12
2462.0,-8.18
2474.0,-8.03
2486.0,-7.96
2498.0,-7.8
2510.0,-7.87
2523.0,-8.13
2535.0,-8.02
2547.0,-7.65
2559.0,-7.6
2571.0,-7.83
2583.0,-7.86
2595.0,-7.68
2607.0,-7.8
2619.0,-7.84
2631.0,-7.91
2643.0,-7.79
2655.0,-7.92
2667.0,-7.81
2679.0,-7.93
2692.0,-7.59
2704.0,-7.65
2716.0,-7.63
2728.0,-7.66
2741.0,-7.53
2753.0,-7.5
2765.0,-7.94
2777.0,-7.88
2790.0,-7.74
2802.0,-7.72
2815.0,-7.64
2828.0,-7.65
2840.0,-7.67
2853.0,-7.61
2866.0,-7.75
2878.0,-7.66
2891.0,-7.57
2903.0,-7.73
2917.0,-7.83
2930.0,-7.69
2944.0,-7.68
2958.0,-7.75
2971.0,-7.59
2985.0,-7.82
2999.0,-7.79
3012.0,-7.97
3026.0,-8.08
3040.0,-8.2
3054.0,-8.1
3069.0,-7.96
3084.0,-8.05
3099.0,-8.17
3114.0,-7.9
3129.0,-7.81
3144.0,-7.64
3159.0,-7.65
3174.0,-7.62
3189.0,-7.92
3204.0,-7.72
3219.0,-7.74
3235.0,-8.05
3250.0,-8.11
3266.0,-8.06
3281.0,-8.02
3296.0,-8.07
3312.0,-8.21
3327.0,-8.25
3342.0,-8.12
3358.0,-8.05
3373.0,-8.14
3389.0,-8.03
3404.0,-8.12
3419.0,-8.0
3435.0,-8.13
3450.0,-8.03
3465.0,-8.15
3481.0,-8.1
3496.0,-7.65
3511.0,-8.01
3526.0,-8.13
3541.0,-7.93
3555.0,-7.85
3570.0,-7.78
3585.0,-7.78
3600.0,-7.8
3615.0,-7.96
3629.0,-7.97
3644.0,-7.85
3659.0,-7.74
3673.0,-7.33
3687.0,-7.6
3702.0,-7.85
3716.0,-7.6
3730.0,-7.69
3744.0,-7.8
3758.0,-7.64
3773.0,-7.69
3787.0,-7.61
3801.0,-7.74
3814.0,-7.75
3828.0,-7.86
3841.0,-7.66
3854.0,-7.72
3868.0,-7.72
3881.0,-7.93
3895.0,-7.97
3908.0,-8.15
3921.0,-7.87
3934.0,-7.88
3947.0,-7.66
3960.0,-7.69
3972.0,-7.62
3985.0,-8.29
3998.0,-8.33
4010.0,-8.29
4023.0,-8.21
4036.0,-8.16
4048.0,-8.1
4061.0,-8.16
4073.0,-8.08
4085.0,-8.04
4097.0,-8.26
4109.0,-7.91
4122.0,-8.02
4134.0,-7.97
4146.0,-7.98
4158.0,-8.05
4170.0,-8.07
4183.0,-8.11
4195.0,-8.04
4207.0,-8.06
4220.0,-7.87
4232.0,-7.81
4245.0,-8.09
4257.0,-8.28
4269.0,-8.37
4282.0,-8.2
4294.0,-7.76
4307.0,-7.55
4320.0,-7.66
4332.0,-7.8
4345.0,-7.85
4358.0,-8.23
4371.0,-8.19
4384.0,-8.01
4397.0,-8.04
4410.0,-8.38
4423.0,-8.1
4436.0,-8.03
4449.0,-7.89
4463.0,-7.99
4476.0,-8.2
4489.0,-8.45
4502.0,-8.39
4515.0,-8.19
4528.0,-8.05
4541.0,-8.01
4554.0,-8.55
4568.0,-8.86
4581.0,-8.75
4594.0,-8.41
4607.0,-8.35
4621.0,-8.22
4634.0,-8.33
4647.0,-8.32
4660.0,-8.43
4674.0,-8.09
4687.0,-8.05
4700.0,-8.05
4714.0,-8.41
4727.0,-8.55
4741.0,-8.2
4754.0,-8.06
4768.0,-8.03
4781.0,-7.88
4795.0,-7.91
4808.0,-8.19
4822.0,-8.08
4835.0,-8.18
4849.0,-8.1
4863.0,-8.01
4877.0,-8.02
4890.0,-8.0
4904.0,-7.75
4918.0,-7.78
4932.0,-7.81
4946.0,-7.66
4959.0,-7.63
4973.0,-7.57
4987.0,-7.4
5001.0,-7.45
5015.0,-7.69
5028.0,-7.86
5042.0,-7.81
5056.0,-7.95
5070.0,-7.81
5084.0,-7.88
5097.0,-7.88
5111.0,-7.89
5125.0,-7.9
5140.0,-7.95
5154.0,-8.29
5168.0,-8.06
5182.0,-8.02
5197.0,-8.04
5211.0,-8.12
5225.0,-8.09
5239.0,-8.18
5253.0,-8.02
5268.0,-8.13
5283.0,-8.06
5297.0,-8.31
5312.0,-8.4
5326.0,-8.09
5341.0,-8.15
5356.0,-8.44
5370.0,-8.5
5385.0,-8.68
5400.0,-8.46
5415.0,-8.49
5430.0,-8.38
5445.0,-8.45
5460.0,-8.13
5475.0,-8.15
5490.0,-8.54
5505.0,-8.69
5520.0,-8.31
5535.0,-8.46
5550.0,-8.46
5565.0,-8.43
5580.0,-8.5
5595.0,-8.67
5610.0,-8.48
5625.0,-8.5
5640.0,-8.08
5655.0,-8.17
5670.0,-8.43
5685.0,-8.38
5700.0,-8.27
5715.0,-8.47
5730.0,-7.96
5745.0,-7.96
5760.0,-8.24
5775.0,-7.75
5790.0,-8.26
5805.0,-8.2
5821.0,-8.49
5836.0,-8.19
5851.0,-8.18
5866.0,-8.49
5881.0,-8.37
5897.0,-8.23
5912.0,-7.91
5927.0,-8.39
5942.0,-8.2
5957.0,-8.65
5973.0,-8.1
5988.0,-8.33
6003.0,-8.46
6018.0,-8.6
6033.0,-8.59
6048.0,-8.28
6063.0,-8.31
6078.0,-8.46
6093.0,-8.34
6107.0,-8.17
6122.0,-8.45
6137.0,-8.28
6152.0,-8.16
6166.0,-8.4
6181.0,-8.3
6195.0,-8.03
6210.0,-8.12
6224.0,-8.03
6239.0,-8.22
6253.0,-8.07
6268.0,-7.95
6282.0,-8.07
6297.0,-7.73
6311.0,-8.05
6324.0,-8.0
6338.0,-8.14
6352.0,-8.07
6366.0,-8.42
6380.0,-8.16
6394.0,-7.71
6408.0,-7.67
6422.0,-7.83
6435.0,-8.04
6448.0,-8.06
6461.0,-8.08
6474.0,-8.14
6487.0,-8.16
6500.0,-8.54
6513.0,-7.89
6526.0,-7.91
6539.0,-7.9
6551.0,-7.82
6563.0,-7.8
6575.0,-8.0
6586.0,-8.0
6597.0,-8.45
6609.0,-8.26
6620.0,-8.07
6631.0,-7.99
6643.0,-8.05
6654.0,-7.97
6666.0,-7.91
6677.0,-7.91
6687.0,-7.92
6698.0,-7.71
6709.0,-7.7
6720.0,-7.37
6731.0,-7.47
6741.0,-7.72
6752.0,-7.68
6763.0,-7.96
6774.0,-7.81
6785.0,-7.29
6796.0,-8.11
6807.0,-8.09
6817.0,-7.68
6828.0,-8.17
6839.0,-8.0
6850.0,-7.81
6861.0,-7.86
6872.0,-8.09
6882.0,-7.89
6893.0,-8.21
6904.0,-8.05
6915.0,-7.91
6926.0,-7.78
6937.0,-7.95
6948.0,-8.2
6959.0,-7.98
6970.0,-8.04
6981.0,-8.11
6992.0,-8.21
7003.0,-8.25
7013.0,-8.16
7024.0,-8.07
7035.0,-7.9
7046.0,-7.75
7057.0,-7.61
7068.0,-7.82
7079.0,-7.99
7090.0,-8.09
7101.0,-8.06
7112.0,-7.83
7123.0,-7.77
7134.0,-7.94
7145.0,-8.01
7155.0,-8.1
7167.0,-7.84
7177.0,-7.9
7188.0,-7.62
7199.0,-7.79
7210.0,-7.77
7221.0,-7.74
7232.0,-7.72
7244.0,-7.82
7255.0,-7.69
7266.0,-7.89
7277.0,-7.76
7288.0,-7.82
7300.0,-7.87
7311.0,-7.78
7322.0,-7.79
7333.0,-7.87
7345.0,-7.68
7357.0,-7.63
7369.0,-7.38
7380.0,-7.49
7392.0,-7.6
7404.0,-7.66
