###,Series metadata
written by,Pyleoclim 1.1.0b0
lat,32.9975
lon,106.3281
elevation,
time_unit,yrs BP
time_name,Age
value_unit,‰
value_name,$\delta^{18} O$
label,Xianglong
archiveType,speleothem
sensorType,
observationType,
importedFrom,
control_archiveType,False
log,
###,end metadata
Age [yrs BP],$\delta^{18} O$ [‰]
2984.0,-5.98
2993.0,-6.73
3003.0,-6.51
3013.0,-6.36
3022.0,-6.41
3032.0,-7.52
3041.0,-7.31
3051.0,-6.74
3061.0,-7.59
3070.0,-8.21
3080.0,-7.86
3089.0,-6.86
3099.0,-7.21
3109.0,-6.67
3118.0,-6.91
3128.0,-7.2
3137.0,-7.61
3147.0,-7.59
3157.0,-7.42
3166.0,-7.9
3176.0,-7.99
3185.0,-7.03
3195.0,-7.69
3205.0,-8.21
3214.0,-7.25
3224.0,-7.86
3233.0,-7.65
3243.0,-7.27
3253.0,-7.26
3262.0,-7.21
3272.0,-7.38
3281.0,-7.65
3291.0,-7.4
3301.0,-6.56
3310.0,-6.81
3320.0,-8.12
3329.0,-8.07
3339.0,-7.64
3349.0,-7.54
3358.0,-7.74
3368.0,-8.06
3377.0,-7.7
3387.0,-7.41
3397.0,-7.41
3406.0,-7.69
3416.0,-7.58
3425.0,-7.35
3435.0,-7.78
3445.0,-6.85
3454.0,-7.4
3464.0,-7.62
3471.0,-7.4
3479.0,-7.25
3487.0,-7.24
3494.0,-7.1
3502.0,-7.21
3509.0,-8.03
3517.0,-8.01
3524.0,-7.67
3532.0,-7.59
3540.0,-7.93
3547.0,-7.45
3555.0,-7.3
3562.0,-7.24
3570.0,-7.4
3578.0,-7.56
3585.0,-7.83
3593.0,-7.64
3600.0,-7.02
3608.0,-7.33
3616.0,-7.36
3623.0,-7.2
3631.0,-6.45
3638.0,-6.79
3646.0,-7.42
3653.0,-6.67
3660.0,-6.46
3666.0,-7.11
3673.0,-7.84
3680.0,-7.68
3687.0,-7.05
3693.0,-7.18
3700.0,-7.89
3707.0,-7.87
3713.0,-7.57
3720.0,-7.07
3727.0,-7.32
3733.0,-7.54
3740.0,-7.53
3747.0,-7.38
3753.0,-6.66
3760.0,-7.27
3767.0,-6.98
3774.0,-6.81
3780.0,-7.39
3787.0,-7.28
3794.0,-7.27
3800.0,-7.51
3807.0,-7.16
3814.0,-8.01
3820.0,-7.95
3827.0,-7.69
3834.0,-7.72
3840.0,-8.0
3847.0,-8.44
3854.0,-7.99
3861.0,-7.58
3867.0,-7.33
3874.0,-7.79
3881.0,-7.88
